no,tipo,grau,degree_centrality,betweenness_centrality
entrega,termo,32,1.0,0.0
prazo,termo,32,1.0,0.0
produto,termo,32,1.0,0.0
correio,termo,32,1.0,0.011256720430107527
recomendo,termo,32,1.0,0.014897303077746626
bom,termo,31,0.96875,0.0
negativo,sentimento,30,0.9375,0.0
neutro,sentimento,30,0.9375,0.0
embalagem,termo,30,0.9375,0.11999339705992933
atendimento,termo,30,0.9375,0.006804712424672101
problema,termo,30,0.9375,0.0
positivo,sentimento,29,0.90625,0.0
demora,termo,29,0.90625,0.005712365591397849
errado,termo,29,0.90625,0.0067861070381231665
vendedor,termo,28,0.875,0.0320029936461388
frete,termo,28,0.875,0.024290572778476002
troca,termo,27,0.84375,0.01009984639016897
satisfeito,termo,27,0.84375,0.04688887781125685
nota fiscal,termo,27,0.84375,0.04073996120367088
atraso,termo,26,0.8125,0.024825342668084602
qualidade,termo,26,0.8125,0.0
defeito,termo,26,0.8125,0.06298982995051543
cancelamento,termo,26,0.8125,0.003595430107526881
devolucao,termo,26,0.8125,0.03893911028487641
ruim,termo,25,0.78125,0.0003512952101661779
excelente,termo,24,0.75,0.014027482374256568
reembolso,termo,23,0.71875,0.2590184121434121
pagamento,termo,23,0.71875,0.06997415107294142
transportadora,termo,22,0.6875,0.09045873481357354
rastreio,termo,22,0.6875,0.016225192258458386
quebrado,termo,21,0.65625,0.024860791090629802
incompleto,termo,18,0.5625,0.11757400585525588
avariado,termo,13,0.40625,0.26920206249843337
